x1,y1,z1,x2,y2,z2
27.79219818,554.8782959,41.30753326,-74.45828247,-91.74127197,-85.08099365
67.48329163,550.5478516,33.97135162,-73.30062866,-86.80421448,-88.69004822
45.58361053,559.0955811,-0.271014988,-71.60697937,-92.79446411,-87.51475525
6.911404133,563.5512695,-2.591430902,-17.23959351,-40.20346069,-88.03747559
-12.34510803,553.409668,30.65614319,-19.01272583,-37.65557861,-86.5562439
24.8770771,561.7180176,-38.8085556,-20.29095459,-42.61160278,-85.39614868
57.72466278,542.8909912,67.34645081,-20.36221313,-33.26547241,-87.34965515
1.035743952,546.7889404,68.6452713,-16.20639038,-34.2880249,-88.33769226
108.9711151,539.3503418,34.23373413,-17.43823242,-28.3984375,-88.6837616
83.57530212,552.6512451,-0.778122008,-23.8848877,-51.62545776,-83.95251465
-28.77933121,555.1593018,-8.616615295,-27.12097168,-51.31375122,-82.22819519
63.31345749,558.8326416,-34.11933899,-25.49227905,-55.64743042,-82.60864258
-9.912010193,560.7700806,-34.62749481,-24.19009399,-49.1668396,-83.18432617
-5.772891998,555.3547363,-69.97805023,-21.30096436,-47.94204712,-84.36720276
26.80518723,558.0074463,-70.41413116,-25.34558105,-46.4508667,-83.59907532
49.18182755,558.3093262,-59.85243225,-24.71411133,-38.44250488,-85.95133972
32.95301056,540.5473022,92.88240814,-19.66833496,-46.60150146,-84.02145386
85.10905457,540.375,64.60423279,-28.62756348,-57.9487915,-79.45817566
-33.18053055,538.7729492,64.1834259,2.901763916,-39.45385742,-82.93362427
-44.13620377,544.2493896,23.27619743,6.462493896,-43.19894409,-81.27415466
116.1873474,544.1427002,-8.527099609,6.55758667,-36.01773071,-82.52656555
93.52409363,553.4210205,-32.43211365,-77.25314331,-92.18347168,-79.91055298
-40.47418976,551.3458862,-52.1427002,-77.93737793,-86.82096863,-81.36180115
76.19789124,529.8062744,104.8156509,-76.59591675,-91.75924683,-82.93925476
-7.538197041,530.4886475,110.8199921,-32.85693359,-54.50033569,-80.34550476
