x1,y1,z1,x2,y2,z2
0.09854579,8.115983963,7.397641659,-1.531872392,2.999899149,4.872811317
0.819762588,8.046740532,7.259196758,-1.510836959,3.065478563,4.962521076
0.421828985,8.244880676,6.649271011,-1.480062127,3.044122458,4.853673935
-0.280873835,8.328575134,6.612829685,-0.492166162,3.053620577,5.80929184
-0.630779028,8.102798462,7.202712059,-0.524385333,3.026705503,5.855588436
0.045575827,8.341029167,5.954012394,-0.547611713,3.005625725,5.765533924
0.642441034,7.865844727,7.854525566,-0.548906505,3.041122198,5.935359955
-0.387638986,7.934864044,7.882986069,-0.473392099,3.059075594,5.916779518
1.573627234,7.84343338,7.249827862,-0.49577558,3.065363884,6.023797989
1.112166405,8.128703117,6.631949425,-0.612916112,2.979393721,5.601745605
-0.929401159,8.184055328,6.493025303,-0.67171818,2.948061705,5.607409477
0.743993521,8.282812119,6.035373688,-0.64212364,2.954974651,5.528663158
-0.586567819,8.318572998,6.028606415,-0.618461967,2.965435266,5.646420479
-0.51135695,8.265002251,5.380978584,-0.565964341,2.98692894,5.6686759
0.08061105,8.313637733,5.376420021,-0.639458001,2.972971439,5.695771694
0.487211287,8.305787086,5.568252087,-0.627983749,3.01571393,5.84128952
0.192321599,7.791147709,8.31445694,-0.536298215,2.980646372,5.693034649
1.140035748,7.823696136,7.801643372,-0.699094057,2.897728205,5.486845493
-1.009374142,7.795186996,7.791994572,-0.126182675,2.960879803,5.822912693
-1.20844698,7.946060181,7.057381153,-0.061481565,2.930726051,5.754861355
1.704751611,7.9842453,6.480751038,-0.059753656,2.953483105,5.885349751
1.292943358,8.182587624,6.059131145,-1.582657099,2.9059484,4.864776134
-1.141905427,8.169836044,5.699221611,-1.595090151,2.932318687,4.962216854
0.978113294,7.581393719,8.517220497,-1.570714831,2.960982323,4.872484684
-0.543433905,7.586188316,8.626921654,-0.775944889,2.913851738,5.549506664
0.11381501,7.498809814,9.024721146,-0.860998571,2.89218092,5.524431705
1.782648683,8.054367065,5.800590515,-0.778726697,2.871522188,5.484334946
1.083413363,8.196054459,5.381361008,-0.125042021,2.938061953,5.699627876
0.476195931,8.246855736,5.096043587,-0.055653483,2.884860277,5.65631628
0.473335862,7.578372955,8.777044296,-0.749013722,2.835259676,5.408134937
1.71074307,7.552433968,8.052823067,-0.865326107,2.836281061,5.458180428
-1.343883991,7.387168407,8.467691422,-0.075041972,2.865375519,5.566339016
2.137989044,7.732602119,6.846684933,0.013372943,2.843233824,5.600646019
2.283043861,7.782241344,6.258737564,-0.81528002,2.791314363,5.388401031
-1.587743759,7.938187599,6.414989471,-0.775555909,2.786745071,5.35056448
1.89903748,7.980596542,5.123498917,-0.804559886,2.808310747,5.42180872
-0.07522434,8.233296394,4.876266003,-0.713480175,2.798392057,5.323060513
0.455792427,8.085403442,4.580163479,-0.862054944,2.811141491,5.44742775
-0.310290903,7.297228336,9.429542542,-0.848647833,2.799013853,5.438287258
-1.878073931,7.553910732,7.416708469,-0.84182936,2.803875446,5.456252098
2.370724201,7.79160881,5.533887863,-0.387886226,2.804385424,6.612271309
0.818870306,8.128481865,4.863156319,-0.459884942,2.801570415,6.723539352
0.674075246,7.383603096,9.219900131,-0.480518878,2.844993353,6.713030815
0.264744043,7.204030991,9.70153141,-0.854548872,2.753757715,5.327576637
1.263514042,7.252471447,9.224699974,-0.915288448,2.76842308,5.404675961
1.783287883,7.223733425,8.810937881,-0.90936774,2.808497429,5.458360195
2.280067921,7.47176218,7.494785786,-0.318305254,2.797355413,6.570560932
2.782473564,7.382344246,6.814468861,-0.332473457,2.802209139,6.54740715
